Date,Open,High,Low,Close,Adj Close,Volume
2014/11/26,2.81,2.84,2.8,2.84,2.84,10553500
2014/11/28,2.85,2.85,2.77,2.79,2.79,5665000
2014/12/1,2.77,2.79,2.64,2.67,2.67,16025100
2014/12/2,2.69,2.71,2.61,2.68,2.68,12438800
2014/12/3,2.71,2.82,2.69,2.74,2.74,18256500
2014/12/4,2.75,2.75,2.66,2.69,2.69,14513400
2014/12/5,2.69,2.7,2.66,2.66,2.66,9479300
2014/12/8,2.65,2.68,2.52,2.58,2.58,25402100
2014/12/9,2.55,2.59,2.49,2.59,2.59,22914800
2014/12/10,2.58,2.58,2.46,2.48,2.48,17690100
2014/12/11,2.51,2.54,2.46,2.49,2.49,10151600
2014/12/12,2.46,2.55,2.35,2.52,2.52,21211600
2014/12/15,2.52,2.6,2.46,2.47,2.47,19636400
2014/12/16,2.44,2.53,2.42,2.5,2.5,17051600
2014/12/17,2.5,2.57,2.46,2.55,2.55,12521300
2014/12/18,2.58,2.59,2.54,2.55,2.55,12423900
2014/12/19,2.53,2.57,2.51,2.57,2.57,14701500
2014/12/22,2.55,2.68,2.52,2.66,2.66,15044900
2014/12/23,2.69,2.72,2.66,2.67,2.67,8274400
2014/12/24,2.63,2.7,2.63,2.65,2.65,4624000
2014/12/26,2.65,2.69,2.65,2.65,2.65,4029600
2014/12/29,2.64,2.66,2.63,2.66,2.66,8527000
2014/12/30,2.64,2.7,2.63,2.63,2.63,7783700
2014/12/31,2.64,2.7,2.64,2.67,2.67,11177900
2015/1/2,2.67,2.67,2.67,2.67,2.67,0
2015/1/5,2.67,2.7,2.64,2.66,2.66,8878200
2015/1/6,2.65,2.66,2.55,2.63,2.63,13912500
2015/1/7,2.63,2.65,2.54,2.58,2.58,12377600
2015/1/8,2.59,2.65,2.56,2.61,2.61,11136600
2015/1/9,2.63,2.64,2.58,2.63,2.63,8907600
2015/1/12,2.62,2.64,2.55,2.63,2.63,9979600
2015/1/13,2.64,2.68,2.6,2.66,2.66,17907400
2015/1/14,2.6,2.66,2.58,2.63,2.63,9989900
2015/1/15,2.62,2.65,2.49,2.52,2.52,17744000
2015/1/16,2.52,2.53,2.39,2.39,2.39,30192400
2015/1/20,2.39,2.43,2.19,2.24,2.24,56389300
2015/1/21,2.18,2.45,2.14,2.45,2.45,46530800
2015/1/22,2.42,2.5,2.37,2.47,2.47,36169600
2015/1/23,2.48,2.5,2.43,2.45,2.45,11100700
2015/1/26,2.44,2.64,2.44,2.61,2.61,36571300
2015/1/27,2.58,2.84,2.56,2.7,2.7,51805800
2015/1/28,2.71,2.75,2.6,2.63,2.63,24786200
2015/1/29,2.63,2.69,2.51,2.61,2.61,17789200
2015/1/30,2.56,2.6,2.51,2.57,2.57,12908200
2015/2/2,2.69,2.75,2.65,2.67,2.67,25688700
2015/2/3,2.7,2.8,2.68,2.76,2.76,22585300
2015/2/4,2.78,2.92,2.76,2.85,2.85,34829300
2015/2/5,2.88,3.37,2.87,3.31,3.31,73355600
2015/2/6,3.2,3.21,3,3.03,3.03,38110700
2015/2/9,3.03,3.07,2.93,3.04,3.04,24133800
2015/2/10,3.07,3.1,3.01,3.04,3.04,13995100
2015/2/11,3.03,3.1,3,3.07,3.07,11741100
2015/2/12,3.08,3.15,3.05,3.12,3.12,12975000
2015/2/13,3.13,3.18,3.11,3.15,3.15,9627600
2015/2/17,3.16,3.17,3.08,3.11,3.11,8678100
2015/2/18,3.11,3.14,3.06,3.08,3.08,7273900
2015/2/19,3.06,3.08,3.01,3.06,3.06,6573600
2015/2/20,3.03,3.13,3.02,3.06,3.06,10666700
2015/2/23,3.05,3.1,3.03,3.06,3.06,6323500
2015/2/24,3.06,3.12,3.02,3.11,3.11,10899400
2015/2/25,3.08,3.14,3.06,3.1,3.1,6151300
2015/2/26,3.1,3.13,3.06,3.08,3.08,8680900
2015/2/27,3.07,3.12,3.07,3.11,3.11,7150200
2015/3/2,3.13,3.23,3.11,3.21,3.21,15638100
2015/3/3,3.2,3.23,3.13,3.14,3.14,8644000
2015/3/4,3.14,3.14,3.01,3.05,3.05,12112800
2015/3/5,3.1,3.1,2.98,2.98,2.98,11472300
2015/3/6,2.96,2.99,2.83,2.92,2.92,16785200
2015/3/9,2.92,2.98,2.9,2.93,2.93,12405900
2015/3/10,2.97,2.98,2.92,2.92,2.92,10263800
2015/3/11,2.92,2.95,2.8,2.84,2.84,11772800
2015/3/12,2.76,2.79,2.72,2.76,2.76,13847200
2015/3/13,2.74,2.78,2.71,2.75,2.75,8098100
2015/3/16,2.75,2.81,2.75,2.76,2.76,6132900
2015/3/17,2.75,2.8,2.74,2.77,2.77,7739900
2015/3/18,2.77,2.82,2.72,2.75,2.75,11372000
2015/3/19,2.76,2.78,2.73,2.74,2.74,8819400
2015/3/20,2.76,2.8,2.74,2.8,2.8,10764800
2015/3/23,2.81,2.85,2.8,2.84,2.84,7403800
2015/3/24,2.85,2.85,2.76,2.79,2.79,8724500
2015/3/25,2.78,2.79,2.56,2.63,2.63,26985300
2015/3/26,2.59,2.7,2.53,2.65,2.65,28286300
2015/3/27,2.7,2.8,2.63,2.72,2.72,16810200
2015/3/30,2.73,2.76,2.66,2.7,2.7,8557500
2015/3/31,2.66,2.7,2.65,2.68,2.68,7025000
2015/4/1,2.66,2.75,2.65,2.69,2.69,11196400
2015/4/2,2.66,2.7,2.65,2.69,2.69,7047600
2015/4/6,2.68,2.73,2.68,2.7,2.7,8178500
2015/4/7,2.7,2.74,2.69,2.7,2.7,5738100
2015/4/8,2.68,2.74,2.68,2.71,2.71,4349000
2015/4/9,2.69,2.75,2.69,2.72,2.72,7127600
2015/4/10,2.74,2.78,2.73,2.76,2.76,6184800
2015/4/13,2.76,2.8,2.73,2.78,2.78,8391500
2015/4/14,2.77,2.79,2.65,2.67,2.67,13338800
2015/4/15,2.7,2.74,2.65,2.7,2.7,15281400
2015/4/16,2.72,2.94,2.7,2.87,2.87,28617300
2015/4/17,2.54,2.58,2.45,2.58,2.58,53185300
2015/4/20,2.56,2.57,2.45,2.49,2.49,29126000
2015/4/21,2.53,2.53,2.35,2.35,2.35,31279400
2015/4/22,2.35,2.36,2.25,2.28,2.28,27634900
2015/4/23,2.28,2.36,2.26,2.33,2.33,15130400
2015/4/24,2.36,2.38,2.3,2.3,2.3,15001200
2015/4/27,2.3,2.36,2.29,2.34,2.34,13486900
2015/4/28,2.36,2.37,2.31,2.31,2.31,11448700
2015/4/29,2.3,2.33,2.27,2.28,2.28,11870200
2015/4/30,2.28,2.31,2.26,2.26,2.26,11465300
2015/5/1,2.26,2.31,2.25,2.31,2.31,11662800
2015/5/4,2.31,2.36,2.3,2.31,2.31,9670100
2015/5/5,2.34,2.34,2.25,2.28,2.28,12371600
2015/5/6,2.29,2.31,2.24,2.29,2.29,18492100
2015/5/7,2.32,2.32,2.26,2.32,2.32,15015600
2015/5/8,2.33,2.36,2.3,2.31,2.31,9758800
2015/5/11,2.31,2.35,2.31,2.32,2.32,10046900
2015/5/12,2.32,2.35,2.3,2.35,2.35,10017500
2015/5/13,2.36,2.38,2.35,2.37,2.37,7575900
2015/5/14,2.38,2.39,2.33,2.33,2.33,8865100
2015/5/15,2.33,2.38,2.32,2.32,2.32,8054800
2015/5/18,2.35,2.36,2.33,2.35,2.35,4671500
2015/5/19,2.36,2.37,2.28,2.28,2.28,9588400
2015/5/20,2.3,2.33,2.28,2.32,2.32,6947700
2015/5/21,2.31,2.35,2.28,2.28,2.28,7127700
2015/5/22,2.3,2.31,2.27,2.28,2.28,12845400
2015/5/26,2.27,2.28,2.22,2.22,2.22,10007800
2015/5/27,2.24,2.28,2.2,2.28,2.28,17511000
2015/5/28,2.28,2.33,2.27,2.27,2.27,12354600
2015/5/29,2.27,2.32,2.25,2.28,2.28,7726200
2015/6/1,2.29,2.3,2.25,2.25,2.25,6803700
2015/6/2,2.26,2.3,2.25,2.3,2.3,7101100
2015/6/3,2.3,2.32,2.28,2.28,2.28,8062300
2015/6/4,2.28,2.33,2.26,2.33,2.33,11575800
2015/6/5,2.31,2.34,2.29,2.33,2.33,7349700
2015/6/8,2.31,2.33,2.29,2.31,2.31,6207600
2015/6/9,2.35,2.36,2.28,2.29,2.29,12282700
2015/6/10,2.31,2.35,2.3,2.32,2.32,8161200
2015/6/11,2.34,2.35,2.31,2.32,2.32,7671000
